Fecha,Codigo,Tipo_pago,Monto_total,Ganancia_neta,Detalle_venta
2025-04-05 06:43:27 PM,132,Efectivo,"30,000","30,000","Producto: reparacion 30, cantidad: 1
"
2025-04-05 06:58:43 PM,133,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-04-05 07:23:40 PM,134,Efectivo,"22,000","15,000","Producto: cable v8 sencillo barato, cantidad: 1
Producto: cable tipo c medio , cantidad: 1
"
2025-04-05 07:30:26 PM,135,Efectivo,"28,000","14,500","Producto: vaporizador micco 16.000puff, cantidad: 1
"
2025-04-05 08:53:18 PM,136,Efectivo,"120,000","62,000","Producto: parlante jbl redondo x950, cantidad: 1
"
2025-04-07 10:06:20 AM,137,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-04-07 10:59:10 AM,138,Efectivo,"18,000","12,000","Producto: cable tipo c carga rapida , cantidad: 1
"
2025-04-07 11:04:49 AM,139,Efectivo,"30,000","22,000","Producto: cable usb iphone , cantidad: 2
"
2025-04-07 11:38:46 AM,140,Efectivo,"15,000","11,000","Producto: cable usb iphone , cantidad: 1
"
2025-04-07 12:07:13 PM,141,Efectivo,"18,000","12,000","Producto: cargador tipo c sencillo, cantidad: 1
"
2025-04-07 12:38:05 PM,142,Efectivo,"20,000","18,000","Producto: vidrio 5d sencillo, cantidad: 2
"
2025-04-07 12:54:46 PM,143,Efectivo,"22,000","15,000","Producto: silicone samsung a31, cantidad: 1
Producto: vidrio blindado, cantidad: 1
"
2025-04-07 12:55:24 PM,144,Efectivo,"20,000","15,000","Producto: silicone redmi note 8 pro, cantidad: 1
"
2025-04-07 02:09:29 PM,145,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-04-07 02:18:35 PM,146,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-04-07 02:22:39 PM,147,Efectivo,"5,000","4,000","Producto: sim card , cantidad: 1
"
2025-04-07 02:43:38 PM,148,Efectivo,"20,000","20,000","Producto: reparacion 20, cantidad: 1
"
2025-04-07 03:03:53 PM,149,Efectivo,"80,000","58,000","Producto: estuche lujo iphone 13 14 15 mujer, cantidad: 1
Producto: silicone iphone 12 pro max, cantidad: 1
Producto: vidrio antiespia , cantidad: 1
"
2025-04-07 04:32:21 PM,150,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-04-07 04:46:41 PM,151,Efectivo,"20,000","20,000","Producto: reparacion 20, cantidad: 1
"
2025-04-07 05:16:32 PM,152,Efectivo,"25,000","17,000","Producto: cable tipo c generico iphone, cantidad: 1
"
2025-04-07 05:57:09 PM,153,Efectivo,"100,000","100,000","Producto: reparacion 50, cantidad: 2
"
2025-04-07 06:02:43 PM,154,Efectivo,"10,000","10,000","Producto: reparacion 10, cantidad: 1
"
2025-04-07 06:17:29 PM,155,Efectivo,"10,000","10,000","Producto: reparacion 10, cantidad: 1
"
2025-04-07 06:31:26 PM,156,Efectivo,"35,000","25,000","Producto: vidrio 5d sencillo, cantidad: 1
Producto: cable v8 pronix, cantidad: 1
"
2025-04-07 07:10:41 PM,157,Efectivo,"20,000","15,000","Producto: silicone xiaomi redmi 10c, cantidad: 1
"
2025-04-07 07:23:50 PM,158,Efectivo,"10,000","9,000","Producto: vidrio 5d sencillo, cantidad: 1
"
2025-04-07 07:24:13 PM,159,Efectivo,"10,000","10,000","Producto: reparacion 10, cantidad: 1
"
2025-04-07 08:03:30 PM,160,Efectivo,"120,000","70,000","Producto: reparacion display 50, cantidad: 1
"
2025-04-07 08:09:34 PM,161,Efectivo,"39,000","24,000","Producto: cable tipo c medio , cantidad: 1
Producto: soporte cerrado moto , cantidad: 1
"
2025-04-07 08:13:27 PM,162,Efectivo,"28,000","20,000","Producto: sim card , cantidad: 2
Producto: cargador v8 sencillo, cantidad: 1
"
2025-04-07 08:17:13 PM,163,Efectivo,"10,000","7,000","Producto: cable tipo c generico, cantidad: 1
"
2025-04-08 01:09:00 PM,165,Efectivo,"25,000","23,000","Producto: vidrio antiespia , cantidad: 1
"
2025-04-08 02:00:47 PM,166,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-04-08 02:29:28 PM,169,Efectivo,"53,100",28100,"Producto: diadema motivo bluetooth, cantidad: 1
"
2025-04-08 02:57:35 PM,170,Efectivo,"100,000","100,000","Producto: reparacion 50, cantidad: 2
"
2025-04-08 03:43:04 PM,171,Efectivo,"25,000","17,000","Producto: audifonos generico tipo c , cantidad: 1
"
2025-04-08 03:53:32 PM,172,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-04-08 04:39:38 PM,174,Efectivo,"100,000","100,000","Producto: reparacion 50, cantidad: 2
"
2025-04-08 06:42:44 PM,175,Efectivo,"155,000","122,000","Producto: estuche iphone sencillo , cantidad: 1
Producto: estuche 15 pro max hombre, cantidad: 1
Producto: vidrio antiespia , cantidad: 1
Producto: reparacion celular 40, cantidad: 1
Producto: silicone tecno spark go 2024, cantidad: 1
Producto: vidrio blindado, cantidad: 1
"
2025-04-08 06:47:49 PM,176,Efectivo,"180,000","25,000","Producto: airpods s3, cantidad: 1
Producto: airpods s3 blanco, cantidad: 1
"
2025-04-08 07:05:58 PM,177,Efectivo,"77,000",27000,"Producto: airpods s4 , cantidad: 1
"
2025-04-08 07:41:18 PM,178,Efectivo,"20,000","15,000","Producto: silicone samsung a13 4g, cantidad: 1
"
2025-04-08 08:00:58 PM,179,Efectivo,"44,000","34,000","Producto: silicone samsung a16, cantidad: 1
Producto: audifonos samsung plano generico, cantidad: 1
Producto: vidrio 5d sencillo, cantidad: 1
"
2025-04-08 08:57:49 PM,180,Efectivo,"85,000","85,000","Producto: reparacion 50, cantidad: 1
Producto: reparacion 15 , cantidad: 1
Producto: reparacion 20, cantidad: 1
"
2025-04-08 09:03:46 PM,181,Efectivo,"20,000","18,000","Nombre: vidrio blindado, cantidad: 1
"
